YEAR	DECJAN	JANFEB	FEBMAR	MARAPR	APRMAY	MAYJUN	JUNJUL	JULAUG	AUGSEP	SEPOCT	OCTNOV	NOVDEC
1977	.71	.651	.548	.558	.511	.421	.641	.749	.715	.831	1.01	1.112
1978	.939	.846	.895	.57	.023	-.235	-.137	.19	-.056	-.142	.39	.626
1979	.577	.402	.132	.164	.623	.637	.346	.584	.876	.818	.831	1.012
1980	1.014	.813	.832	1.167	1.249	.919	.783	.689	.411	.336	.226	.189
1981	-.087	-.337	-.128	.362	.29	.013	-.096	-.076	.082	.201	.177	.064
1982	.077	.019	.107	.44	.949	1.48	1.768	1.841	1.871	2.254	2.593	2.777
1983	3.08	3.31	3.349	3.084	2.665	2.337	1.922	1.155	.462	.105	-.099	.054
1984	.054	-.166	-.192	.096	-.052	-.402	-.416	-.365	-.214	-.102	-.359	-.66
1985	-.744	-.777	-.863	-.772	-.791	-.533	-.102	-.365	-.601	-.257	.015	-.151
1986	-.278	-.228	-.087	-.004	.141	.319	.377	.736	1.147	1.198	1.237	1.342
1987	1.38	1.529	1.883	2.171	2.162	2.069	2.2	2.343	2.054	1.824	1.575	1.49
1988	1.387	1.02	.703	.429	-.047	-.735	-1.416	-1.704	-1.783	-1.76	-1.778	-1.67
1989	-1.468	-1.33	-1.198	-1.143	-1.124	-1.027	-.951	-.637	-.35	-.389	-.33	.001
1990	.225	.462	.742	.723	.531	.422	.352	.147	.257	.454	.382	.298
1991	.407	.413	.493	.763	1.014	1.184	1.102	.553	.296	.8	1.257	1.45
1992	1.857	2.039	2.052	2.289	2.404	2.293	1.742	.723	.464	.751	.765	.808
1993	.925	1.049	1.177	1.44	1.86	1.835	1.228	.724	.795	1.186	1.158	.784
1994	.644	.422	.278	.646	1.011	.992	.885	.731	.796	1.355	1.447	1.319
1995	1.337	1.196	.935	.83	.94	.813	.483	.258	-.081	-.274	-.407	-.432
1996	-.437	-.421	-.348	-.361	-.435	-.272	-.214	-.218	-.22	-.327	-.213	-.203
1997	-.453	-.577	-.323	.529	1.61	2.602	3.12	3.181	3.168	3.214	3.201	3.022
1998	2.822	2.823	2.944	2.821	2.336	1.355	.18	-.731	-.863	-.759	-.857	-.973
1999	-1.108	-1.231	-1.121	-1.098	-1.187	-.975	-.826	-.801	-.727	-.847	-1.045	-1.182
2000	-1.255	-1.295	-1.319	-1.168	-.96	-.711	-.479	-.298	-.113	-.109	-.397	-.642
2001	-.706	-.796	-.71	-.398	-.322	-.349	-.225	-.041	-.098	-.256	-.29	-.199
2002	-.064	-.091	.045	.359	.669	.912	.667	.636	.903	1.09	1.207	1.223
2003	1.252	1.084	.953	.816	.262	-.094	.004	.083	.36	.533	.594	.646
2004	.526	.331	.118	.125	.299	.214	.271	.582	.803	.68	.69	.74
2005	.432	.28	.631	.773	.588	.737	.8	.492	.08	-.661	-.998	-.954
2006	-.438	-.424	-.527	-.575	.043	.546	.718	.77	.84	.955	1.286	.951
2007	.985	.528	.12	.02	.354	-.136	-.247	-.427	-1.175	-1.217	-1.165	-1.193
2008	-1.02	-1.388	-1.579	-.879	-.349	.164	.089	-.252	-.545	-.692	-.597	-.663
2009	-.726	-.707	-.723	-.105	.328	.779	1.06	1.073	.745	.909	1.121	1.045
2010	1.067	1.52	1.469	.99	.668	-.211	-1.099	-1.662	-1.86	-1.899	-1.49	-1.577
2011	-1.739	-1.563	-1.575	-1.399	-.202	.016	-.191	-.502	-.751	-.933	-.949	-.957
2012	-.993	-.695	-.398	.112	.769	.866	1.128	.628	.351	.081	.125	.094
2013	.096	-.08	-.037	.095	.203	-.078	-.311	-.466	-.125	.13	-.053	-.248
2014	-.275	-.266	.027	.312	1.01	1.057	.921	.961	.593	.438	.763	.558
2015	.42	.459	.631	.943	1.592	2.101	1.987	2.365	2.532	2.241	2.297	2.112
2016	2.227	2.169	1.984	2.124	1.77	1.069	.354	.186	-.091	-.379	-.212	-.121
